cluster	Cell.type	layer	color
17	Hepatocytes A	Endoderm	#7400C2
20	Intestinal cells A	Endoderm	#8E14E0
35	Epithelial cells (Mucosa)	Endoderm	#A929FF
38	Intestinal cells B (Exocrine)	Endoderm	#BB56FF
41	Pancreas exocrine cells	Endoderm	#CD82FF
58	Hepatocytes B	Endoderm	#DFAEFF
65	Hepatocytes C	Endoderm	#F1DBFF
8	Erythrocytes A	Lateral plate mesoderm	#844420
14	Erythrocytes B	Lateral plate mesoderm	#904A23
25	Lymphocytes A	Lateral plate mesoderm	#9D5126
32	Nephric duct cells	Lateral plate mesoderm	#A85A2D
34	Endothelial cells	Lateral plate mesoderm	#AE673D
39	Macrophages	Lateral plate mesoderm	#B5734D
59	Neutrophils	Lateral plate mesoderm	#BB805D
66	Kidney cells	Lateral plate mesoderm	#C28C6D
69	Lymphocytes B	Lateral plate mesoderm	#C9997E
28	Pigment cells (Xantophores)	Neural crest	#944D72
37	Pigment cells (Melanocytes)	Neural crest	#DF74AC
40	Pigment cells (Iridophores)	Neural crest	#F89ACB
42	Glial cells (Peripheral)	Neural crest	#FABFDE
50	Neurons E (Peripheral)	Neural crest	#FDE5F2
2	Neurons A (Brain)	Neuroectoderm	#173416
4	Neuronal precursors A	Neuroectoderm	#214B1F
6	Neurons B (Proliferating)	Neuroectoderm	#2B6229
9	Cone cells	Neuroectoderm	#357933
13	Retinal cells A	Neuroectoderm	#3F913D
23	Neuronal precursors B	Neuroectoderm	#4AA847
24	Neurons C (Spinal cord)	Neuroectoderm	#57B354
27	Retinal cells B	Neuroectoderm	#66BA64
29	Rod cells	Neuroectoderm	#75C173
33	Neurons D (Brain)	Neuroectoderm	#84C782
44	Radial glia A	Neuroectoderm	#93CE91
46	Retinal pigment epithelial cells	Neuroectoderm	#A2D5A0
48	Radial glia B	Neuroectoderm	#B1DCAF
53	Olfactory receptor cells	Neuroectoderm	#C0E2BE
57	Epithelial cells (Otic vesicle)	Neuroectoderm	#CFE9CD
62	Oligodendrocytes	Neuroectoderm	#DEF0DC
68	Inner ear cells	Neuroectoderm	#EDF7EC
12	Chondrocytes A	Paraxial mesoderm - cartilage	#B75B01
49	Chondrocytes B	Paraxial mesoderm - cartilage	#ED7600
55	Chondrocytes C	Paraxial mesoderm - cartilage	#FF9833
60	Osteoblasts	Paraxial mesoderm - cartilage	#FFBE7F
67	Chondrocytes D	Paraxial mesoderm - cartilage	#FFE5CC
0	Undifferentiated mesodermal cells	Paraxial mesoderm - fibroblasts	#99991E
5	Fibroblasts A	Paraxial mesoderm - fibroblasts	#E6E62D
16	Fibroblasts B (Fin)	Paraxial mesoderm - fibroblasts	#FFFF57
22	Fibroblasts C	Paraxial mesoderm - fibroblasts	#FFFF8C
31	Fibroblasts D	Paraxial mesoderm - fibroblasts	#FFFFC1
1	Skeletal muscle cells A	Paraxial mesoderm - muscle	#9F1213
3	Muscle cells (Pectoral fin)	Paraxial mesoderm - muscle	#B91516
11	Skeletal muscle cells B	Paraxial mesoderm - muscle	#D31819
18	Satellite cells	Paraxial mesoderm - muscle	#E52729
19	Smooth muscle cells A (Vasculature)	Paraxial mesoderm - muscle	#EA4E4F
43	Skeletal muscle cells C	Paraxial mesoderm - muscle	#EE7475
45	Skeletal muscle cells D	Paraxial mesoderm - muscle	#F39B9B
56	Smooth muscle B	Paraxial mesoderm - muscle	#F7C1C1
61	Skeletal muscle cells E (slow)	Paraxial mesoderm - muscle	#FCE8E8
7	Epidermal cells A	Surface ectoderm	#214B6E
10	Epithelial cells (Fin)	Surface ectoderm	#265780
15	Epidermal cells B	Surface ectoderm	#2C6493
21	Lens cells A	Surface ectoderm	#3171A6
26	Keratinocytes A	Surface ectoderm	#377EB8
30	Epidermal cells C	Surface ectoderm	#4E8DC0
36	Lens cells B	Surface ectoderm	#649BC7
47	Epidermal cells D	Surface ectoderm	#7BA9CF
51	Neuromast cells	Surface ectoderm	#91B8D7
52	Epidermal precursors	Surface ectoderm	#A7C6DF
54	Corneal cells	Surface ectoderm	#BED5E7
63	Epithelial cells (other)	Surface ectoderm	#D4E3EF
64	Keratinocytes B	Surface ectoderm	#EBF2F7
